date,open,high,low,close,volume
1976-08-18,13.5939,13.5939,13.5939,13.5939,3900
1976-08-19,13.5243,13.5243,13.5243,13.5243,100
1976-08-20,13.4546,13.4546,13.4546,13.4546,1600
1976-08-23,13.0529,13.0529,13.0529,13.0529,200
1976-08-24,12.9190,12.9190,12.9190,12.9190,1500
1976-08-25,12.7905,12.7905,12.7905,12.7905,1600
1976-08-26,12.7905,12.7905,12.7905,12.7905,100
1976-08-27,13.2565,13.2565,13.2565,13.2565,500
1976-08-30,12.9887,12.9887,12.9887,12.9887,8000
1976-08-31,12.9887,12.9887,12.9887,12.9887,100
1976-09-01,13.0529,13.0529,13.0529,13.0529,100
1976-09-02,12.8548,12.8548,12.8548,12.8548,13000
1976-09-03,12.6512,12.6512,12.6512,12.6512,100
1976-09-07,12.3191,12.3191,12.3191,12.3191,6700
1976-09-08,12.3888,12.3888,12.3888,12.3888,6400
1976-09-09,12.3191,12.3191,12.3191,12.3191,200
1976-09-10,12.5173,12.5173,12.5173,12.5173,100
1976-09-13,12.2495,12.2495,12.2495,12.2495,22900
1976-09-14,12.1852,12.1852,12.1852,12.1852,4500
1976-09-15,12.1852,12.1852,12.1852,12.1852,6400
1976-09-16,11.9871,11.9871,11.9871,11.9871,13400
1976-09-17,11.9871,11.9871,11.9871,11.9871,100
1976-09-20,11.9871,11.9871,11.9871,11.9871,100
1976-09-21,11.9871,11.9871,11.9871,11.9871,16100
1976-09-22,11.9871,11.9871,11.9871,11.9871,200
1976-09-23,11.9871,11.9871,11.9871,11.9871,100
1976-09-24,11.9871,11.9871,11.9871,11.9871,500
1976-09-27,11.9174,11.9174,11.9174,11.9174,100
1976-09-28,11.9174,11.9174,11.9174,11.9174,8800
1976-09-29,12.0513,12.0513,12.0513,12.0513,4500
1976-09-30,11.9871,11.9871,11.9871,11.9871,100
1976-10-01,11.9174,11.9174,11.9174,11.9174,5200
1976-10-04,11.9174,11.9174,11.9174,11.9174,100
1976-10-05,11.9871,11.9871,11.9871,11.9871,1600
1976-10-06,12.0513,12.0513,12.0513,12.0513,2000
1976-10-07,12.2495,12.2495,12.2495,12.2495,1600
1976-10-08,12.3191,12.3191,12.3191,12.3191,6200
1976-10-11,12.2495,12.2495,12.2495,12.2495,500
1976-10-12,11.9871,11.9871,11.9871,11.9871,3400
1976-10-13,12.0513,12.0513,12.0513,12.0513,1500
1976-10-14,12.1156,12.1156,12.1156,12.1156,100
1976-10-15,11.9871,11.9871,11.9871,11.9871,100
1976-10-18,12.3888,12.3888,12.3888,12.3888,100
1976-10-19,12.0513,12.0513,12.0513,12.0513,500
1976-10-20,11.9871,11.9871,11.9871,11.9871,100
1976-10-21,12.2495,12.2495,12.2495,12.2495,8800
1976-10-22,12.3191,12.3191,12.3191,12.3191,3000
1976-10-25,12.5869,12.5869,12.5869,12.5869,3000
1976-10-26,12.5869,12.5869,12.5869,12.5869,500
1976-10-27,12.9190,12.9190,12.9190,12.9190,1500
1976-10-28,13.1922,13.1922,13.1922,13.1922,100
1976-10-29,13.0529,13.0529,13.0529,13.0529,100
1976-11-01,13.0529,13.0529,13.0529,13.0529,200
1976-11-03,12.6512,12.6512,12.6512,12.6512,5000
1976-11-04,12.5869,12.5869,12.5869,12.5869,7000
1976-11-05,12.2495,12.2495,12.2495,12.2495,500
1976-11-08,12.2495,12.2495,12.2495,12.2495,1600
1976-11-09,12.2495,12.2495,12.2495,12.2495,100
1976-11-10,12.2495,12.2495,12.2495,12.2495,200
1976-11-11,12.8548,12.8548,12.8548,12.8548,1800
1976-11-12,13.1922,13.1922,13.1922,13.1922,1800
1976-11-15,12.7905,12.7905,12.7905,12.7905,100
1976-11-16,12.5173,12.5173,12.5173,12.5173,100
1976-11-17,12.3888,12.3888,12.3888,12.3888,100
1976-11-18,12.2495,12.2495,12.2495,12.2495,3700
1976-11-19,12.3191,12.3191,12.3191,12.3191,500
1976-11-22,12.6512,12.6512,12.6512,12.6512,100
1976-11-23,12.6512,12.6512,12.6512,12.6512,2000
1976-11-24,12.5869,12.5869,12.5869,12.5869,100
1976-11-26,12.5173,12.5173,12.5173,12.5173,100
1976-11-29,12.5173,12.5173,12.5173,12.5173,500
1976-11-30,12.3191,12.3191,12.3191,12.3191,100
1976-12-01,12.4530,12.4530,12.4530,12.4530,500
1976-12-02,12.4530,12.4530,12.4530,12.4530,500
1976-12-03,13.0529,13.0529,13.0529,13.0529,2000
1976-12-06,14.3277,14.3277,14.3277,14.3277,4500
1976-12-07,14.7990,14.7990,14.7990,14.7990,6700
1976-12-08,14.9972,14.9972,14.9972,14.9972,500
1976-12-09,14.9276,14.9276,14.9276,14.9276,100
1976-12-10,14.9276,14.9276,14.9276,14.9276,100
1976-12-13,15.6025,15.6025,15.6025,15.6025,4500
1976-12-14,15.7364,15.7364,15.7364,15.7364,1500
1976-12-15,16.2023,16.2023,16.2023,16.2023,600
1976-12-16,15.9345,15.9345,15.9345,15.9345,500
1976-12-17,16.1381,16.1381,16.1381,16.1381,100
1976-12-20,15.7364,15.7364,15.7364,15.7364,100
1976-12-21,15.6667,15.6667,15.6667,15.6667,100
1976-12-22,16.0042,16.0042,16.0042,16.0042,1800
1976-12-23,16.8719,16.8719,16.8719,16.8719,200
1976-12-27,18.3448,18.3448,18.3448,18.3448,6400
1976-12-28,18.2752,18.2752,18.2752,18.2752,500
1976-12-29,18.2109,18.2109,18.2109,18.2109,200
1976-12-30,18.2752,18.2752,18.2752,18.2752,500
1976-12-31,18.2752,18.2752,18.2752,18.2752,500
